AC|info|nvl 2:(ConsultarStatusOperacional) mensagem enviada
20200728103527|AC-SAT|info|nvl 2:(ConsultarSAT) mensagem recebida
20200728103527|SAT-AC|info|nvl 2:(ConsultarSAT) mensagem enviada
20200728103527|AC-SAT|info|nvl 2:(ConsultarStatusOperacional) mensagem recebida
20200728103528|SAT-AC|info|nvl 1:(ConsultarStatusOperacional) consulta realizada com sucesso
20200728103528|SAT-AC|info|nvl 2:(ConsultarStatusOperacional) mensagem enviada
20200728103604|AC-SAT|info|nvl 2:(ConsultarSAT) mensagem recebida
20200728103604|SAT-AC|info|nvl 2:(ConsultarSAT) mensagem enviada
20200728103604|AC-SAT|info|nvl 2:(ConsultarStatusOperacional) mensagem recebida
20200728103605|SAT-AC|info|nvl 1:(ConsultarStatusOperacional) consulta realizada com sucesso
20200728103605|SAT-AC|info|nvl 2:(ConsultarStatusOperacional) mensagem enviada
20200728103605|AC-SAT|info|nvl 2:(ConsultarStatusOperacional) mensagem recebida
20200728103605|SAT-AC|info|nvl 1:(ConsultarStatusOperacional) consulta realizada com sucesso
20200728103605|SAT-AC|info|nvl 2:(ConsultarStatusOperacional) mensagem enviada
20200728103609|AC-SAT|info|nvl 2:(ConsultarSAT) mensagem recebida
20200728103609|SAT-AC|info|nvl 2:(ConsultarSAT) mensagem enviada
20200728103609|AC-SAT|info|nvl 2:(ConsultarStatusOperacional) mensagem recebida
20200728103610|SAT-AC|info|nvl 1:(ConsultarStatusOperacional) consulta realizada com sucesso
20200728103610|SAT-AC|info|nvl 2:(ConsultarStatusOperacional) mensagem enviada
20200728103652|AC-SAT|info|nvl 2:(ConsultarSAT) mensagem recebida
20200728103652|SAT-AC|info|nvl 2:(ConsultarSAT) mensagem enviada
20200728103652|AC-SAT|info|nvl 2:(ConsultarStatusOperacional) mensagem recebida
20200728103654|SAT-AC|info|nvl 1:(ConsultarStatusOperacional) consulta realizada com sucesso
20200728103654|SAT-AC|info|nvl 2:(ConsultarStatusOperacional) mensagem enviada
20200728103654|AC-SAT|info|nvl 2:(EnviarDadosVenda) mensagem recebida
20200728103655|SAT-AC|info|nvl 1:(EnviarDadosVenda):983527 CF-e-SAT CFe35200703476811015264590003462880190794575679 gerado com sucesso
20200728103655|SAT-AC|info|nvl 2:(EnviarDadosVenda) mensagem enviada
20200728103755|AC-SAT|info|nvl 2:(ConsultarSAT) mensagem recebida
20200728103755|SAT-AC|info|nvl 2:(ConsultarSAT) mensagem enviada
20200728103755|AC-SAT|info|nvl 2:(ConsultarStatusOperacional) mensagem recebida
20200728103755|SAT-AC|info|nvl 1:(ConsultarStatusOperacional) consulta realizada com sucesso
20200728103755|SAT-AC|info|nvl 2:(ConsultarStatusOperacional) mensagem enviada
20200728103756|AC-SAT|info|nvl 2:(EnviarDadosVenda) mensagem recebida
20200728103756|SAT-AC|info|nvl 1:(EnviarDadosVenda):983607 CF-e-SAT CFe35200703476811015264590003462880190806275734 gerado com sucesso
20200728103756|SAT-AC|info|nvl 2:(EnviarDadosVenda) mensagem enviada
20200728103847|AC-SAT|info|nvl 2:(ConsultarSAT) mensagem recebida
20200728103847|SAT-AC|info|nvl 2:(ConsultarSAT) mensagem enviada
20200728103847|AC-SAT|info|nvl 2:(ConsultarStatusOperacional) mensagem recebida
20200728103848|SAT-AC|info|nvl 1:(ConsultarStatusOperacional) consulta realizada com sucesso
20200728103848|SAT-AC|info|nvl 2:(ConsultarStatusOperacional) mensagem enviada
20200728103848|AC-SAT|info|nvl 2:(EnviarDadosVenda) mensagem recebida
