-
SAT|info|nvl 2:(diagnostico) conexao via ETHE sendo estabelecida.
20201019131330|SAT|info|nvl 2:(diagnostico) conexao via ETHE sendo estabelecida.
20201019131336|SAT|info|nvl 2:(diagnostico) conexao via ETHE sendo estabelecida.
20201019131340|SEFAZ-SAT|erro|nvl 0:(CFeRecepcao) diagnostico SOAP: codigo: 28
20201019131340|SEFAZ-SAT|erro|nvl 0:(CFeRecepcao) diagnostico SOAP: motivo: Host not found
20201019131340|SEFAZ-SAT|erro|nvl 0:(CFeRecepcao) diagnostico SOAP: detail: get host by name failed in tcp_connect()
20201019131340|SAT-SEFAZ|info|nvl 2:(CFeRecepcao):0.07 acessado o webservice https://wssatsp.fazenda.sp.gov.br:443/CfeRecepcao/CfeRecepcao.asmx
20201019131341|SAT|info|nvl 2:(diagnostico) conexao via ETHE sendo estabelecida.
20201019131347|SAT|info|nvl 2:(diagnostico) conexao via ETHE sendo estabelecida.
20201019131352|SAT|info|nvl 2:(diagnostico) conexao via ETHE sendo estabelecida.
20201019131357|SAT|info|nvl 2:(diagnostico) conexao via ETHE sendo estabelecida.
20201019131403|SAT|info|nvl 2:(diagnostico) conexao via ETHE sendo estabelecida.
20201019131408|SAT|info|nvl 2:(diagnostico) conexao via ETHE sendo estabelecida.
20201019131411|SEFAZ-SAT|erro|nvl 0:(CFeRecepcao) diagnostico SOAP: codigo: 28
20201019131411|SEFAZ-SAT|erro|nvl 0:(CFeRecepcao) diagnostico SOAP: motivo: Host not found
20201019131411|SEFAZ-SAT|erro|nvl 0:(CFeRecepcao) diagnostico SOAP: detail: get host by name failed in tcp_connect()
20201019131411|SAT-SEFAZ|erro|nvl 0:(CFeRecepcao) falha de comunicacao com a SEFAZ
20201019131411|SAT|erro|nvl 0:(bloqueio) falha ao sair do estado de bloqueio
20201019131414|SAT|info|nvl 2:(diagnostico) conexao via ETHE sendo estabelecida.
20201019131419|SAT|info|nvl 2:(diagnostico) conexao via ETHE sendo estabelecida.
20201019131424|SAT|info|nvl 2:(diagnostico) conexao via ETHE sendo estabelecida.
20201019131430|SAT|info|nvl 2:(diagnostico) conexao via ETHE sendo estabelecida.
20201019131431|SAT|info|nvl 2:(bloqueio) iniciado processo de desbloqueio autonomo
20201019131431|SAT-SEFAZ|info|nvl 2:(CFeRecepcao):0.07 acessado o webservice https://wssatsp.fazenda.sp.gov.br:443/CfeRecepcao/CfeRecepcao.asmx
20201019131435|SAT|info|nvl 2:(diagnostico) conexao via ETHE sendo estabelecida.
20201019131441|SAT|info|nvl 2:(diagnostico) conexao via ETHE sendo estabelecida.
20201019131446|SAT|info|nvl 2:(diagnostico) conexao via ETHE sendo estabelecida.
20201019131451|SAT|info|nvl 2:(diagnostico) conexao via ETHE sendo estabelecida.
20201019131457|SAT|info|nvl 2:(diagnostico) conexao via ETHE sendo estabelecida.
20201019131501|SEFAZ-SAT|erro|nvl 0:(CFeRecepcao) diagnostico SOAP: codigo: 28
20201019131501|SEFAZ-SAT|erro|nvl 0:(CFeRecepcao) diagnostico SOAP: motivo: Host not found
20201019131501|SEFAZ-SAT|erro|nvl 0:(CFeRecepcao) diagnostico SOAP: detail: get host by name failed in tcp_connect()
20201019131501|SAT-SEFAZ|info|nvl 2:(CFeRecepcao):0.07 acessado o webservice https://wssatsp.fazenda.sp.gov.br:443/CfeRecepcao/CfeRecepcao.asmx
20201019131502|SAT|info|nvl 2:(diagnostico) conexao via ETHE sendo estabelecida.
20201019131508|SAT|info|nvl 2:(diagnostico) conexao via ETHE sendo estabelecida.
20201019131513|SAT|info|nvl 2:(diagnostico) conexao via ETHE sendo estabelecida.
20201019131519|SAT|info|nvl 2:(diagnostico) conexao via ETHE sendo estabelecida.
20201019131524|SAT|info|nvl 2:(diagnostico) conexao via ETHE sendo estabelecida.
20201019131529|SAT|info|nvl 2:(diagnostico) conexao via ETHE sendo estabelecida.
20201019131531|SEFAZ-SAT|erro|nvl 0:(CFeRecepcao) diagnostico SOAP: codigo: 28
20201019131531|SEFAZ-SAT|erro|nvl 0:(CFeRecepcao) diagnostico SOAP: motivo: Host not found
20201019131531|SEFAZ-SAT|erro|nvl 0:(CFeRecepcao) diagnostico SOAP: detail: get host by name failed in tcp_connect()
20201019131531|SAT-SEFAZ|info|nvl 2:(CFeRecepcao):0.07 acessado o webservice https://wssatsp.fazenda.sp.gov.br:443/CfeRecepcao/CfeRecepcao.asmx
20201019131535|SAT|info|nvl 2:(diagnostico) conexao via ETHE sendo estabelecida.
20201019131540|SAT|info|nvl 2:(diagnostico) conexao via ETHE sendo estabelecida.
20201019131546|SAT|info|nvl 2:(diagnostico) conexao via ETHE sendo estabelecida.
20201019131551|SAT|info|nvl 2:(diagnostico) conexao via ETHE sendo estabelecida.
20201019131556|SAT|info|nvl 2:(diagnostico) conexao via ETHE sendo estabelecida.
20201019131601|SEFAZ-SAT|erro|nvl 0:(CFeRecepcao) diagnostico SOAP: codigo: 28
20201019131601|SEFAZ-SAT|erro|nvl 0:(CFeRecepcao) diagnostico SOAP: motivo: Host not found
